month,division,line,day_type,num_sched_trains,num_actual_trains,service delivered
2021-02-01,B DIVISION,N,2,1265,1226,96.917
2021-02-01,B DIVISION,N,1,1610,1420,88.19876
2021-02-01,B DIVISION,Q,1,1860,1650,88.709676
2021-02-01,B DIVISION,Q,2,1531,1460,95.36251
2021-02-01,B DIVISION,R,1,1788,1658,92.729306
2021-02-01,B DIVISION,R,2,1245,1229,98.71486
2021-02-01,B DIVISION,S Fkln,1,660,630,95.454544
2021-02-01,B DIVISION,S Fkln,2,681,680,99.85316
2021-02-01,B DIVISION,S Rock,1,390,380,97.4359
2021-02-01,B DIVISION,S Rock,2,437,436,99.771166
2021-02-01,B DIVISION,W,1,727,627,86.24484
2021-02-01,B DIVISION,W,2,185,160,86.48649
2021-02-01,Systemwide,Systemwide,1,37385,33854,90.555036
2021-02-01,Systemwide,Systemwide,2,22413,21318,95.11444
2021-01-01,A DIVISION,1,1,1615,1591,98.51393
2021-01-01,A DIVISION,1,2,1171,1110,94.790775
2021-01-01,A DIVISION,2,1,2144,2071,96.59515
2021-01-01,A DIVISION,2,2,2239,2016,90.040195
2021-01-01,A DIVISION,3,1,1997,1938,97.04557
2021-01-01,A DIVISION,3,2,1540,1437,93.31169
2021-01-01,A DIVISION,4,1,2680,2533,94.514924
2021-01-01,A DIVISION,4,2,2290,2079,90.78603
2021-01-01,A DIVISION,5,2,1530,1453,94.96732
2021-01-01,A DIVISION,5,1,2410,2249,93.3195
2021-01-01,A DIVISION,6,1,1972,1899,96.298176
2021-01-01,A DIVISION,6,2,1173,1052,89.68457
2021-01-01,A DIVISION,7,2,1245,1233,99.036145
2021-01-01,A DIVISION,7,1,2646,2481,93.764174
2021-01-01,A DIVISION,S 42nd,2,1731,1728,99.82669
2021-01-01,B DIVISION,A,1,2438,2322,95.242
2021-01-01,B DIVISION,A,2,1859,1771,95.26627
2021-01-01,B DIVISION,B,1,1638,1611,98.351645
2021-01-01,B DIVISION,C,1,1101,1099,99.81835
2021-01-01,B DIVISION,C,2,1570,1522,96.942675
2021-01-01,B DIVISION,D,2,1510,1490,98.675495
2021-01-01,B DIVISION,D,1,1719,1697,98.720187
2021-01-01,B DIVISION,E,1,1536,1473,95.89844
2021-01-01,B DIVISION,F,1,1743,1756,100.74584
2021-01-01,B DIVISION,G,2,1860,1812,97.41936
2021-01-01,B DIVISION,G,1,884,896,101.35747
2021-01-01,B DIVISION,JZ,2,843,839,99.525505
2021-01-01,B DIVISION,JZ,1,1006,1009,100.29821
2021-01-01,B DIVISION,L,2,1963,1934,98.52267
2021-01-01,B DIVISION,L,1,1801,1778,98.72293
2021-01-01,B DIVISION,M,1,1747,1635,93.58901
2021-01-01,B DIVISION,N,2,1495,1433,95.85284
2021-01-01,B DIVISION,N,1,1724,1681,97.5058
2021-01-01,B DIVISION,Q,1,1976,1920,97.16599
2021-01-01,B DIVISION,Q,2,2230,2184,97.93722
2021-01-01,B DIVISION,R,2,1535,1496,97.45928
2021-01-01,B DIVISION,R,1,1917,1833,95.61815
2021-01-01,B DIVISION,S Fkln,1,702,701,99.85755
2021-01-01,B DIVISION,S Fkln,2,845,815,96.4497
2021-01-01,B DIVISION,S Rock,1,421,421,100
2021-01-01,B DIVISION,S Rock,2,540,544,100.74074
2021-01-01,B DIVISION,W,1,766,735,95.953006
2021-01-01,B DIVISION,W,2,364,324,89.01099
2021-01-01,Systemwide,Systemwide,1,38583,37329,96.749866
2021-01-01,Systemwide,Systemwide,2,29533,28272,95.7302
2020-12-01,A DIVISION,1,1,1761,1677,95.229983
2020-12-01,A DIVISION,1,2,922,856,92.84165
2020-12-01,A DIVISION,2,1,2330,2227,95.5794
2020-12-01,A DIVISION,2,2,1489,1323,88.85158
2020-12-01,A DIVISION,3,2,910,827,90.87912
2020-12-01,A DIVISION,3,1,2159,2036,94.302917
2020-12-01,A DIVISION,4,1,3005,2831,94.209653
2020-12-01,A DIVISION,4,2,1839,1701,92.495924
2020-12-01,A DIVISION,5,2,1008,961,95.3373
2020-12-01,A DIVISION,5,1,2718,2504,92.126566
2020-12-01,A DIVISION,6,2,918,839,91.394335
2020-12-01,A DIVISION,6,1,2037,1891,92.832595
2020-12-01,A DIVISION,7,1,2918,2728,93.488693
2020-12-01,A DIVISION,7,2,1347,1293,95.99109
2020-12-01,A DIVISION,S 42nd,1,2222,2187,98.42484
2020-12-01,A DIVISION,S 42nd,2,1392,1390,99.856323
2020-12-01,B DIVISION,A,2,1279,1242,97.10711
2020-12-01,B DIVISION,A,1,2701,2493,92.29915
2020-12-01,B DIVISION,B,1,1753,1664,94.92299
2020-12-01,B DIVISION,C,1,1229,1190,96.82669
2020-12-01,B DIVISION,C,2,1075,1052,97.86047
2020-12-01,B DIVISION,D,2,1260,1247,98.968256
2020-12-01,B DIVISION,D,1,1898,1834,96.62803
2020-12-01,B DIVISION,E,1,1363,1329,97.505504
2020-12-01,B DIVISION,F,1,1923,1886,98.07592
2020-12-01,B DIVISION,F,2,615,611,99.349594
2020-12-01,B DIVISION,G,1,953,954,100.10493
2020-12-01,B DIVISION,G,2,1488,1483,99.66398
2020-12-01,B DIVISION,JZ,2,695,693,99.71223
2020-12-01,B DIVISION,JZ,1,1067,1043,97.750705
2020-12-01,B DIVISION,L,2,1550,1490,96.12903
2020-12-01,B DIVISION,L,1,2016,1997,99.05754
2020-12-01,B DIVISION,M,2,514,508,98.832685
2020-12-01,B DIVISION,M,1,1710,1662,97.192985
2020-12-01,B DIVISION,N,1,1880,1767,93.98936
2020-12-01,B DIVISION,N,2,1245,1228,98.63454
2020-12-01,B DIVISION,Q,1,2148,2006,93.3892
2020-12-01,B DIVISION,Q,2,1740,1739,99.94253
2020-12-01,B DIVISION,R,1,2123,2028,95.5252
2020-12-01,B DIVISION,R,2,850,840,98.82353
2020-12-01,B DIVISION,S Fkln,2,682,682,100
2020-12-01,B DIVISION,S Fkln,1,756,756,100
2020-12-01,B DIVISION,S Rock,2,214,214,100
2020-12-01,B DIVISION,S Rock,1,444,448,100.9009
2020-12-01,B DIVISION,W,1,812,758,93.349755
2020-12-01,Systemwide,Systemwide,1,43926,41896,95.37859
2020-12-01,Systemwide,Systemwide,2,23032,22219,96.47013
2020-11-01,A DIVISION,1,1,1619,1594,98.455834
2020-11-01,A DIVISION,1,2,1021,939,91.968656
2020-11-01,A DIVISION,2,1,2141,2065,96.45026
2020-11-01,A DIVISION,2,2,1404,1331,94.80057
2020-11-01,A DIVISION,3,1,1916,1852,96.65971
2020-11-01,A DIVISION,3,2,1365,1262,92.45421
2020-11-01,A DIVISION,4,1,2722,2614,96.03233
2020-11-01,A DIVISION,4,2,2099,1950,92.90138
2020-11-01,A DIVISION,5,1,2437,2261,92.778003
2020-11-01,A DIVISION,5,2,720,701,97.36111
2020-11-01,A DIVISION,6,1,1898,1816,95.679665
2020-11-01,A DIVISION,6,2,1061,931,87.747407
2020-11-01,A DIVISION,7,1,2661,2604,97.857946
2020-11-01,A DIVISION,7,2,1330,1264,95.03759
2020-11-01,A DIVISION,S 42nd,1,1954,1942,99.385875
2020-11-01,A DIVISION,S 42nd,2,1581,1483,93.80139
2020-11-01,B DIVISION,A,2,1638,1554,94.871795
2020-11-01,B DIVISION,A,1,2519,2359,93.64827
